Jobtitle,City,Date,Skills,Salary,Candidates,Copy
desarrollador/a php-moodl,Madrid,2022-09-30,"['php', 'lms', 'moodle', 'mysql']",31500.0,7,2022-10-02
analista programador spark/scala,Madrid,2022-09-30,"['scala', 'spark']",31500.0,0,2022-10-02
desarrollador de android,Madrid,2022-10-02,['android'],no disponible,2,2022-10-02
administrador/a microsoft azure - remoto,Online,2022-10-02,"['hyper v', 'azure', 'itil', 'mcafee', 'o365']",31500.0,22,2022-10-02
hardware test engineer (automoción),Tarragona,2022-10-02,"['python', 'testing']",no disponible,2,2022-10-02
ingeniero/a de hardware (hã\xadbrido),Barcelona,2022-10-02,"['altium', 'electronica', 'emc', 'spice']",39000.0,0,2022-10-02
programador c++ (qt creator),Barcelona,2022-10-02,"['cplusplus', 'qtcreator', 'webservices', 'mysql', 'sqlite']",37500.0,2,2022-10-02
perfil servicenow itom + inglã©s,Madrid,2022-10-02,['servicenow'],no disponible,0,2022-10-02
primer empleo it ciencias/ingeniería,Madrid,2022-10-01,"['ingenieria', 'informatica', 'ciencias']",no disponible,44,2022-10-02
programador powercenter con teradata,Online,2022-10-01,"['powercenter', 'oracle', 'teradata']",no disponible,5,2022-10-02
a. programador .net visual basic oracl,Madrid,2022-10-01,"['visual basic', 'oracle', '.net']",no disponible,5,2022-10-02
analistas testing,Madrid,2022-10-01,['testing'],27000.0,5,2022-10-02
analista programador/a siteco,Online,2022-10-01,"['mvc', 'sitecore', '.net']",37500.0,0,2022-10-02
cau ofimática,Madrid,2022-10-01,"['android', 'windows', 'iphone', 'word', 'ipad', 'excel', 'outlook', 'macros', 'powerpoint', 'access', 'vba']",15500.0,4,2022-10-02
analista programador/a banksph,Madrid,2022-10-01,"['banca', 'banksphere']",31500.0,0,2022-10-02
project manager java,Online,2022-10-01,['java'],no disponible,1,2022-10-02
consultor/a appian,Online,2022-10-01,"['negocio', 'consultoria', 'appian']",no disponible,2,2022-10-02
técnicos de sopo,Madrid,2022-09-30,"['soporte', 'windows']",13500.0,19,2022-10-02
service mana,Madrid,2022-09-30,"['itil', 'redes', 'sistemas']",no disponible,3,2022-10-02
técnico n1/n2 telco y redes turno 24x7,Madrid,2022-09-30,['redes'],no disponible,8,2022-10-02
desarrollador/a c++ (ia),Barcelona,2022-09-30,"['python', 'cplusplus', 'opencv', 'stl', 'directx', 'uml', '.net']",42000.0,6,2022-10-02
.net develop,Granada,2022-09-30,"['c#', '.net', 'api']",no disponible,5,2022-10-02
ingeniero/a softwa,Valladolid,2022-09-30,"['reactjs', '.net', 'c#']",no disponible,3,2022-10-02
ingeniero/técnico eléctrico/a,Madrid,2022-09-30,"['infraestructura', 'cableado estructurado']",no disponible,3,2022-10-02
experto sap hr,Madrid,2022-09-30,"['success factors', 'sap']",no disponible,0,2022-10-02
soporte it holandés 24*7 - 100% remoto,Online,2022-09-30,"['soporte', 'service desk']",17000.0,3,2022-10-02
it service desk 24*7 - alemán c1/c2,Online,2022-09-30,['it'],17000.0,0,2022-10-02
marketing operations,Málaga,2022-09-30,"['marketing', 'social media']",21000.0,11,2022-10-02
technical leader mobile ionic angula,Barcelona,2022-09-30,"['ios android', 'reactjs', 'ionic', 'nodejs', 'angularjs', 'java', 'rest', 'jira']",no disponible,0,2022-10-02
platform engi,Online,2022-09-30,"['aws', 'api', 'java', 'kafka', 'spring', 'rabbitmq']",no disponible,0,2022-10-02
programador/a .net core & angular jr,Online,2022-09-30,"['devops', '.net', 'angularjs']",22500.0,4,2022-10-02
informático soporte - programador/a,Madrid,2022-09-30,"['oracle', 'access', 'sql server', 'mysql']",no disponible,22,2022-10-02
operador/a de sistemas (monitorización),Sevilla,2022-09-30,"['linux', 'backups', 'batch', 'middleware', 'redes']",no disponible,8,2022-10-02
